time,sb,snb,tv,tv1,trans,trans1,trans2,w1,w2,w3,w4,w5,w6,w7,sb1,sb2,sb3,sb4,sb5,sb6,sb7,snb1,snb2,snb3,snb4,snb5,snb6,snb7,tv1,tv2,tv3,tv4,tv5,tv6,tv7,sbm3,sbm4,sbm5,sbm6,sbm8,sbm10,snbm3,snbm4,snbm5,snbm6,snbm8,snbm10,tvm3,tvm4,tvm5,tvm6,tvm8,tvm10
5/18/2016,830,11444.68,0,0,465,470,785,0,0,1,0,0,0,0,1092.5,2105,2465,1930,1890,1912.5,1412.5,11605.98,17717.13,22272.43,23727.18,25025.43,13200.85,2653.8,0,0,0,0,0,0,0,1342.5,1623.13,1684.5,1718.75,1704.69,25770.58,13589.26,15760.06,17353.48,18632.14,15955.94,25770.58,0,0,0,0,0,0
5/19/2016,1395,19305.78,0,0,775,465,470,0,0,0,1,0,0,0,830,1092.5,2105,2465,1930,1890,1912.5,11444.68,11605.98,17717.13,22272.43,23727.18,25025.43,13200.85,0,0,0,0,0,0,0,1105.83,1355.63,1577.5,1636.25,1702.5,21413.46,14118.81,15018.39,16469.2,17678.86,18037.43,21413.46,0,0,0,0,0,0
5/20/2016,1512.5,19831.25,0,0,787.5,775,465,0,0,0,0,1,0,0,1395,830,1092.5,2105,2465,1930,1890,19305.78,11444.68,11605.98,17717.13,22272.43,23727.18,25025.43,0,0,0,0,0,0,0,1245.83,1207.5,1387,1566.67,1652.5,16678.45,16860.57,15546.92,15980.96,17029.54,18866.23,16678.45,0,0,0,0,0,0
5/21/2016,1337.5,20369.23,0,0,792.5,787.5,775,0,0,0,0,0,1,0,1512.5,1395,830,1092.5,2105,2465,1930,19831.25,19305.78,11444.68,11605.98,17717.13,22272.43,23727.18,0,0,0,0,0,0,0,1415,1268.75,1233.5,1378.75,1583.44,18449.99,19835.42,17737.74,16511.38,16712.34,18284.21,18449.99,0,0,0,0,0,0
5/22/2016,1157.5,19633.33,0,0,742.5,792.5,787.5,0,0,0,0,0,0,1,1337.5,1512.5,1395,830,1092.5,2105,2465,20369.23,19831.25,19305.78,11444.68,11605.98,17717.13,22272.43,0,0,0,0,0,0,0,1335.83,1350.63,1246.5,1220.83,1486.88,19093.24,19944.6,19784.9,18116.85,17031.71,17772.48,19093.24,0,0,0,0,0,0
5/23/2016,957.5,19324.98,0,0,655,742.5,792.5,1,0,0,0,0,0,0,1157.5,1337.5,1512.5,1395,830,1092.5,2105,19633.33,20369.23,19831.25,19305.78,11444.68,11605.98,17717.13,0,0,0,0,0,0,0,1150.83,1241.25,1272,1198.33,1298.44,18523.2,19775.85,19789.7,19692.91,18318.21,17404.05,18523.2,0,0,0,0,0,0
5/24/2016,705,13169.4,0,0,492.5,655,742.5,0,1,0,0,0,0,0,957.5,1157.5,1337.5,1512.5,1395,830,1092.5,19324.98,19633.33,20369.23,19831.25,19305.78,11444.68,11605.98,0,0,0,0,0,0,0,940,1039.38,1134,1177.5,1123.44,17467.42,17375.9,18124.24,18465.64,18605.66,16835.58,17467.42,0,0,0,0,0,0
5/25/2016,557.5,13713.65,0,0,487.5,492.5,655,0,0,1,0,0,0,0,705,957.5,1157.5,1337.5,1512.5,1395,830,13169.4,19324.98,19633.33,20369.23,19831.25,19305.78,11444.68,0,0,0,0,0,0,0,740,844.38,943,1037.92,1056.56,16611.54,15402.68,16460.34,17242.12,17673.64,17099.04,16611.54,0,0,0,0,0,0
5/26/2016,3045,24576.3,0,0,977.5,487.5,492.5,0,0,0,1,0,0,0,557.5,705,957.5,1157.5,1337.5,1512.5,1395,13713.65,13169.4,19324.98,19633.33,20369.23,19831.25,19305.78,0,0,0,0,0,0,0,1435.83,1316.25,1284.5,1293.33,1333.44,17297.46,17153.12,17696.08,18083.53,18464.48,18740.49,17297.46,0,0,0,0,0,0
5/27/2016,1267.5,23634.1,0,0,927.5,977.5,487.5,0,0,0,0,1,0,0,3045,557.5,705,957.5,1157.5,1337.5,1512.5,24576.3,13713.65,13169.4,19324.98,19633.33,20369.23,19831.25,0,0,0,0,0,0,0,1623.33,1393.75,1306.5,1281.67,1317.5,18500.27,20641.35,18773.36,18883.69,19008.63,19281.53,18500.27,0,0,0,0,0,0
